id,h,place,e,n
2360,雅安,雅安,103.0,29.98
2369,巴中,巴中,106.77,31.85
2374,资阳,资阳,104.65,30.12
2378,资阳,简阳,104.55,30.4
2430,贵阳,贵阳,106.63,26.65
2439,贵阳,清镇,106.47,26.55
2440,六盘水,六盘水,104.83,26.6
2445,遵义,遵义,106.92,27.73
2458,遵义,赤水,105.7,28.58
2459,遵义,仁怀,106.42,27.82
2460,安顺,安顺,105.95,26.25
2478,兴义,兴义,104.9,25.08
2524,昆明,昆明,102.72,25.05
2538,昆明,安宁,102.48,24.92
2539,曲靖,曲靖,103.8,25.5
2548,曲靖,宣威,104.1,26.22
2549,玉溪,玉溪,102.55,24.35
2557,保山,保山,99.17,25.12
2563,昭通,昭通,103.72,27.33
2575,丽江,丽江,100.23,26.88
2587,临沧,临沧,100.08,23.88
2740,西安,西安,108.93,34.27
2754,铜川,铜川,108.93,34.9
2759,宝鸡,宝鸡,107.13,34.37
2772,咸阳,咸阳,108.7,34.33
2786,咸阳,兴平,108.48,34.3
2787,渭南,渭南,109.5,34.5
2797,渭南,韩城,110.43,35.48
2798,渭南,华阴,110.08,34.57
2799,延安,延安,109.48,36.6
2812,汉中,汉中,107.02,33.07
2824,榆林,榆林,109.73,38.28
2837,安康,安康,109.02,32.68
2848,商洛,商洛,109.93,33.87
2856,兰州,兰州,103.82,36.07
2863,嘉峪关,嘉峪关,98.27,39.8
2864,金昌,金昌,102.18,38.5
2867,白银,白银,104.18,36.55
2873,天水,天水,105.72,34.58
2879,武威,武威,102.63,37.93
2884,张掖,张掖,100.45,38.93
2891,平凉,平凉,106.67,35.55
2899,酒泉,酒泉,98.52,39.75
2904,酒泉,玉门,97.05,40.28
2905,酒泉,敦煌,94.67,40.13
2906,庆阳,庆阳,107.63,35.73
2915,定西,定西,104.62,35.58
2923,陇南,陇南,104.92,33.4
2950,西宁,西宁,101.78,36.62
3027,乌鲁木齐,乌鲁木齐,87.62,43.82
3036,克拉玛依,克拉玛依,84.87,45.6
3056,阿图什,阿图什,76.17,39.72
3069,石河子,石河子,86.03,44.3
3070,石河子,阿拉尔,81.28,40.55
3071,石河子,图木舒克,79.13,39.85
3072,石河子,五家渠,87.53,44.17
3073,港澳台,香港,114.08,22.2
3074,港澳台,澳门,113.33,22.13
3075,港澳台,台北,121.5,25.03
3076,港澳台,高雄,120.28,22.62
3077,港澳台,基隆,121.73,25.13
3078,港澳台,台中,120.67,24.15
3079,港澳台,台南,120.2,23.0
3080,港澳台,新竹,120.95,24.82
3081,港澳台,嘉义,120.43,23.48
3082,南宁,南宁,108.37,22.82

